Data S1. List of Border Protected Areas,,
WDPAID,NAME,ISO3
11800,Sächsische Schweiz,DEU
11812,Kysuce,SVK
11829,Hissar State Reserve,UZB
11865,Ethniko parko dasous Dadias - Lefkimmis - Soufliou,GRC
12155,Male Karpaty,SVK
12157,Vychodne Karpaty,SVK
12159,Biele Karpaty,SVK
12160,Horna Orava,SVK
12171,Chu Mom Ray,VNM
12176,Xe Pian,LAO
12182,Phou Daen Din,LAO
12201,W (Benin),BEN
12203,Iguaçu National Park,BRA
12249,Preah Vihear,KHM
12250,Batang Ai National Park,MYS
12270,Żywiecki Park Krajobrazowy,POL
12297,Reisa,NOR
12397,Haut-Jura,FRA
12414,Sohagibarwa,IND
12491,Las Tablas,CRI
12524,San Diego y San Felipe Las Barras,SLV
12534,Mae Yom Phang Khwa,THA
12650,Bosawas,NIC
12657,Serranías de Dipilto - Jalapa,NIC
13142,Rosh Ha-Niqra,ISR
13350,Itxusi,ESP
13648,Zone Reservée Péligre,HTI
13652,Aggteleki Nemzeti Park,HUN
13658,Zempléni Tájvédelmi Körzet,HUN
13704,Gambella,ETH
13755,Tedo,ETH
13756,Omo West,ETH
13757,Murule,ETH
13770,Buenos Aires,USA
13771,Cabeza Prieta,USA
13873,J. Clark Salyer,USA
14089,Imatong,SSD
14133,Stuzica,SVK
14135,Horny les,SVK
14146,Cerova vrchovina,SVK
14175,Trishna,IND
14180,Singalila,IND
14253,Szigetközi Tájvédelmi Körzet,HUN
14513,Hemmschuh,DEU
14522,Hirschberg - Seiffener Grund,DEU
14525,Mothäuser Heide,DEU
14528,Zweibach,DEU
14531,Großer Kranichsee,DEU
14612,Parco naturale Alta Valsesia,ITA
14766,Burdov,SVK
14895,Wadi Al Alaqi,EGY
14900,Siwa,EGY
14910,Massiv Elat,ISR
14936,Nahal Senir,ISR
14941,Tel Dan,ISR
14945,Margaliyyot,ISR
14948,Nahal Misgav,ISR
14961,Nahal Bezet (harhava),ISR
14977,Ge'on Ha-Yarden,ISR
14979,Ge'on Ha-Yarden Kefar Ruppin,ISR
14980,Ge'on Ha-Yarden Hamadya,ISR
14981,Ha-Hof Ha-Shaqet,ISR
14986,Nahal Bezeq,ISR
15017,Midbar Yehuda,ISR
15018,En Gedi,ISR
15030,Tel Qeriyyot,ISR
15037,Lahav Zafon (harhava),ISR
15051,Nehalim Gedolim (harhava 1),ISR
15140,Grande Sassière,FRA
15442,Baish Aran,ESP
15457,Muga-Albanyà,ESP
15505,Darqad (Takhar),AFG
15506,Imam Sahib (Kunduz),AFG
15596,Nacionalni park Tara,SRB
15602,Kopački rit,HRV
15605,Kopački rit - rezervat,HRV
15672,Prud,HRV
16086,Parque Estadual Do Turvo,BRA
16288,Strombierg,LUX
16296,Haard - Hesselsbierg - Staebierg,LUX
16338,Ellergronn,LUX
16358,'Parc naturel de l''Our / Naturpark Our',LUX
16385,Nacionalni park Skadarsko jezero,MNE
16396,Tikvara,SRB
16397,Stara planina,SRB
16408,Kamaras,SRB
16437,Ohridsko Ezero,MKD
16438,Dojransko Ezero,MKD
16448,Topla,SVN
16765,Devinska Kobyla,SVK
16782,Zlatniansky luh,SVK
16792,Manovo-Gounda St Floris National Park,CAF
16796,Kasane Extension,BWA
16829,Los Andes,ARG
16845,Laguna Brava,ARG
16873,Copahue Caviahue,ARG
16890,Iberá,ARG
17119,Marakan,IRN
17131,Hamoun,IRN
17132,Kiamaky,IRN
17158,Hamun-e-Saberi & Hamun-e-Helmand,IRN
17160,"Hamun-e-Puzak, south end",IRN
17165,"Alagol, Ulmagol & Ajigol Lakes",IRN
17176,Arasbaran,IRN
17269,Wadi Al-Batin Natural Reserve,KWT
17727,Wetland of the W of Niger National Park,NER
17744,El Feïja,TUN
17770,Ha-Tanur (Nahal Ayun),ISR
17774,Har Ha-Negev,ISR
17814,At-Tubayq,SAU
17999,Khaudum,NAM
18033,Yok Don,VNM
18107,Ruggeller Riet,LIE
18116,Kennedy Coulee Ecological Reserve,CAN
18251,Samunsam,MYS
18335,Chilliwack River Ecological Reserve,CAN
18359,Gilnockie Creek Ecological Reserve,CAN
18404,Ross Lake Ecological Reserve,CAN
18437,Bwindi Impenetrable,UGA
18438,Rwenzori Mountains,UGA
18440,Akobo,ETH
18467,Huai Sala,THA
18566,Sable Islands Provincial Park (Nature Reserve Class),CAN
18683,Upper Canada Bird Sanctuary,CAN
18804,Montecristo Trifinio,HND
18813,Cerro Azul,HND
18872,Dong Ampham,LAO
18893,Phou Xieng Thong,LAO
18934,Nemesmedves történelmi emlékhely természetvédelmi terület,HUN
